"Activity","Applicant","Year","Allocation","Value"
"Fresh tomatoes","Under Glass (Karaka) Limited",2011,3095,61404.8
"Fresh tomatoes","Vege Fresh Growers Limited",2011,132,2618.88
"Gelatine","GELITA NZ Ltd",2011,2737,54302.08
"Glass containers","ACI OPERATIONS NZ LIMITED",2011,30682,608730.88
"Hydrogen peroxide","EVONIK PEROXIDE LIMITED",2011,10184,202050.56
"Iron and steel manufacturing from iron sand","New Zealand Steel Development Limited",2011,989304,19627791.36
"Lactose","Fonterra Ltd",2011,21290,422393.6
"Market pulp","Oji Fibre Solutions (NZ) Limited",2011,138613,2750081.92
"Market pulp","Pan Pac Forest Products Limited",2011,117962,2340366.08
"Market pulp","Winstone Pulp International Limited",2011,83617,1658961.28
"Methanol","Methanex New Zealand Ltd",2011,294153,5835995.52
"Newsprint","Norske Skog Tasman Ltd",2011,237752,4716999.68
"Packaging and industrial paper","Carter Holt Harvey Ltd",2011,21064,417909.76
"Packaging and industrial paper","Oji Fibre Solutions (NZ) Limited",2011,120938,2399409.92
"Protein meal","Affco New Zealand Limited",2011,6302,125031.68
"Protein meal","Alliance Group Limited",2011,6646,131856.64
"Protein meal","Blue Sky Meats (N.Z.) Limited",2011,410,8134.4
"Protein meal","CMP Canterbury Limited",2011,3260,64678.4
"Protein meal","CMP Kokiri Limited",2011,797,15812.48
"Protein meal","Farm Brands Limited",2011,2754,54639.36
"Protein meal","Graeme Lowe Protein Limited",2011,4755,94339.2
"Protein meal","Hawkes Bay Protein Limited",2011,2059,40850.56
"Protein meal","Kakariki Proteins Limited",2011,393,7797.12
"Protein meal","Keep It Clean Limited",2011,1231,24423.04
"Protein meal","Prime Range Meats Limited",2011,468,9285.12
"Protein meal","PVL Proteins Limited",2011,2213,43905.92
"Protein meal","Silver Fern Farms Limited",2011,6840,135705.6
"Protein meal","Taranaki By-Products Ltd",2011,8707,172746.88
"Protein meal","Taylor Preston Limited",2011,1202,23847.68
"Protein meal","Tegel Foods Limited",2011,808,16030.72
"Protein meal","Value Proteins Ltd",2011,668,13253.12
"Protein meal","Wallace Corporation Limited",2011,7281,144455.04
"Reconstituted wood panels","Carter Holt Harvey Ltd",2011,1027,20375.68
"Reconstituted wood panels","Daiken New Zealand Limited",2011,9030,179155.2
"Reconstituted wood panels","Dongwha New Zealand Limited",2011,8340,165465.6
"Reconstituted wood panels","Fletcher Building Products Limited",2011,1854,36783.36
"Reconstituted wood panels","Juken New Zealand Ltd",2011,3756,74519.04
"Reconstituted wood panels","Nelson Pine Industries Limited",2011,15094,299464.96
"Tissue paper","Asaleo Care New Zealand Limited",2011,21756,431639.04
"Whey powder","Fonterra Ltd",2011,1066,21149.44
"Aluminium smelting","New Zealand Aluminium Smelters Limited",2012,301244,1876750.12
"Burnt lime","Graymont (NZ) Limited",2012,96536,601419.28
"Burnt lime","Holcim (New Zealand) Limited",2012,7676,47821.48
"Burnt lime","Perry Lime Limited",2012,4034,25131.82
"Burnt lime","Websters Hydrated Lime Company Limited",2012,1987,12379.01
"Carbamide (urea)","Ballance Agri-Nutrients (Kapuni) Limited",2012,143065,891294.95
"Carbon steel from cold ferrous feed","Fletcher Steel Limited",2012,37616,234347.68
"Carbon steel from cold ferrous feed","KiwiRail Limited",2012,60,373.8
"Cartonboard","Whakatane Mill Limited",2012,79480,495160.4
"Caustic soda","Oji Fibre Solutions (NZ) Limited",2012,9860,61427.8
"Cementitious products","Fletcher Concrete and Infrastructure Limited",2012,278421,1734562.83
"Cementitious products","Holcim (New Zealand) Limited",2012,174223,1085409.29
"Clay bricks and field tiles","Clay Bricks Ltd",2012,320,1993.6
"Clay bricks and field tiles","CSR Building Products (NZ) Ltd",2012,2479,15444.17
"Cut roses","Daphne Avis Stocks, Stephen Lloyd Stocks",2012,73,454.79
"Cut roses","Elisabeth Margi Jordens, Theodorus Nicolaas Maria Jordens",2012,24,149.52
"Cut roses","Franko Roses New Zealand Limited",2012,97,604.31
"Cut roses","Jeffrey Guy Ward",2012,77,479.71
"Cut roses","John Hamilton Charles Falloon, Paul Gregory Whitehead, Suzanne Marie Whitehead",2012,43,267.89
"Cut roses","K & L Nurseries Limited",2012,260,1619.8
"Cut roses","Moffatts Flower Company Limited",2012,764,4759.72
"Cut roses","Riverland Holdings Limited",2012,543,3382.89
"Cut roses","Robyn Ann Ogden-Robb, Trevor Charles Robb",2012,97,604.31
"Cut roses","Royal Roses Limited",2012,33,205.59
"Cut roses","Shipherd Nurseries Limited",2012,675,4205.25
"Cut roses","Van Berlo Limited",2012,154,959.42
"Cut roses","Van Lier Nurseries Ltd",2012,666,4149.18
"Ethanol","Anchor Ethanol Limited",2012,5699,35504.77
"Fresh capsicums","Appleby Fresh Limited",2012,28,174.44
"Fresh capsicums","Flat-Tac Capsicums Limited",2012,150,934.5
"Fresh capsicums","Gourmet Mokai Limited",2012,1721,10721.83
"Fresh capsicums","Gourmet Paprika Limited",2012,3520,21929.6
"Fresh capsicums","Harbour Head Growers Limited",2012,139,865.97
"Fresh capsicums","Homestead Produce Ltd",2012,606,3775.38
"Fresh capsicums","J.S.Ewers Ltd",2012,553,3445.19
"Fresh capsicums","Kipps' Patch Limited",2012,25,155.75
"Fresh capsicums","M.C.H. & J. van Geest Nurseries Limited",2012,195,1214.85
"Fresh capsicums","Maria Anna Van der Gulik, Pieter Van der Gulik",2012,13,80.99
"Fresh capsicums","Marion Matthews, Troy Jonathan Matthews",2012,33,205.59
"Fresh capsicums","Poppas Peppers 2009 Limited",2012,220,1370.6
"Fresh capsicums","Sinai Hort Limited",2012,371,2311.33
"Fresh capsicums","Southern Paprika Limited",2012,4998,31137.54
"Fresh capsicums","Under Glass (Bombay) Ltd",2012,200,1246
"Fresh capsicums","Under Glass (Karaka) Limited",2012,768,4784.64
"Fresh capsicums","Whakatane Growers Limited",2012,705,4392.15
"Fresh cucumbers","Alwyn Ernest Inger, Anne Marie Inger",2012,297,1850.31
"Fresh cucumbers","Balvinder Singh, Pawan Kumari Singh",2012,122,760.06
"Fresh cucumbers","Exception Limited",2012,1944,12111.12
"Fresh cucumbers","Hanna Hothouses Ltd",2012,225,1401.75
"Fresh cucumbers","Hope Hot House Ltd",2012,89,554.47
"Fresh cucumbers","J.S.Ewers Ltd",2012,106,660.38
"Fresh cucumbers","Jai Shankar Growers Limited",2012,197,1227.31
"Fresh cucumbers","Karaka Park Produce Limited",2012,426,2653.98
"Fresh cucumbers","Maria Anna Van der Gulik, Pieter Van der Gulik",2012,12,74.76
"Fresh cucumbers","Meenakshi Devi Sharma, Raj Kumar Sharma",2012,1143,7120.89
"Fresh cucumbers","Parkgard Growers 2000 Limited",2012,47,292.81
"Fresh cucumbers","PFD Produce Limited",2012,153,953.19
"Fresh cucumbers","Sharma Produce Limited",2012,518,3227.14
"Fresh cucumbers","Under Glass (Bombay) Ltd",2012,1567,9762.41
"Fresh tomatoes","Ann Christine Fair, Graeme David Fair",2012,6,37.38
"Fresh tomatoes","Antone James Ivicevich, Joanne Elizabeth Gould Ivicevich",2012,119,741.37
"Fresh tomatoes","Brigitte Abma, Ferdinand Abma",2012,155,965.65
"Fresh tomatoes","Castle Rock Orchard Ltd",2012,292,1819.16
"Fresh tomatoes","Dale Calderwood Frost, Elizabeth Kay Frost",2012,31,193.13
"Fresh tomatoes","Desma Claire Duncan, Edward Malcolm Duncan",2012,16,99.68
"Fresh tomatoes","Dong Hyuk Cha, Soo Hwan Cha",2012,1,6.23
"Fresh tomatoes","Dulcie Margaret Turner, Trevor Allan Turner",2012,56,348.88
"Fresh tomatoes","Eseta Kovati, Reupena Kovati",2012,16,99.68
"Fresh tomatoes","Everard Matthew Sanders, Johanna Maria Sanders, Mathijs Albert Eduard Maria Sanders",2012,305,1900.15
"Fresh tomatoes","Gordon Edward Hackett",2012,10,62.3
"Fresh tomatoes","Gourmet Mokai Limited",2012,1457,9077.11
"Fresh tomatoes","Great Lake Tomatoes Limited",2012,2001,12466.23
"Fresh tomatoes","Hanna Hothouses Ltd",2012,292,1819.16
"Fresh tomatoes","Helen Joy Petrie, Kevin Francis Petrie",2012,312,1943.76
"Fresh tomatoes","Hye Young Jung, Kyounglae Lee",2012,66,411.18
"Fresh tomatoes","IL KYU AHN",2012,65,404.95
"Fresh tomatoes","J.S.Ewers Ltd",2012,2460,15325.8
"Fresh tomatoes","Jae Young Hong, Sun Young Park",2012,66,411.18
"Fresh tomatoes","Jai Shankar Growers Limited",2012,15,93.45
"Fresh tomatoes","Ji-Im Park, Won Ha Park",2012,37,230.51
"Fresh tomatoes","Karamea Tomatoes Limited",2012,299,1862.77
"Fresh tomatoes","Kingbridge Ltd",2012,45,280.35
"Fresh tomatoes","Lai Ying Cuby Ng, Wa Chit Chan",2012,34,211.82
"Fresh tomatoes","Lee Wang Hothouse Limited",2012,83,517.09
"Fresh tomatoes","Lycopene Fresh Vegefruit LTD",2012,35,218.05
"Fresh tomatoes","Maria Anna Van der Gulik, Pieter Van der Gulik",2012,11,68.53
"Fresh tomatoes","Mary Jane Fausett, Peter James Fausett",2012,79,492.17
"Fresh tomatoes","Michael Theodore Gargiulo, Vicki Thresa Gargiulo",2012,282,1756.86
"Fresh tomatoes","New Zealand Fresh Floria Limited",2012,26,161.98
"Fresh tomatoes","Nortonta Limited",2012,471,2934.33
"Fresh tomatoes","P H Kinzett Ltd",2012,624,3887.52
"Fresh tomatoes","Parkgard Growers 2000 Limited",2012,60,373.8
